Core-index,jlpt,Vocab-expression,Vocab-kana,Bahasa-meaning,Vocab-meaning-eng,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning-Bahasa,Sentence-meaning-eng
483,JLPT2,姿,すがた,Sosok,"figure, appearance",Noun,遠くに彼女の姿が見えた。,とおく に かのじょ の すがた が みえた,Saya melihat sosoknya di kejauhan.,I saw her figure from a long way away.
484,JLPT2,先ず,まず,Pertama-tama,first,Adverb,帰ったら先ず手を洗いましょう。,かえったら まず て を あらいましょう 。,"Pertama-tama, cuci tangan saat kamu pulang.","When you get home, wash your hands first."
485,JLPT0,昭和,しょうわ,Showa,Showa era,Noun,私の両親は昭和生まれです。,わたし の りょうしん は しょうわうまれ です,Orang tua saya lahir di era Showa.,My parents were born in the Showa era.
486,JLPT3,社会,しゃかい,Masyarakat,society,Noun,これは大きな社会問題になっている。,これ は おおき な しゃかい もんだい に なって いる,Ini menjadi masalah besar di masyarakat.,This is a major social issue.
487,JLPT2,プログラム,プログラム,Program,program,Noun,受付でプログラムを受け取った。,うけつけ で ぷろぐらむ を うけとった,Saya menerima program di resepsi.,I got my program at the reception.
488,JLPT2,期待,きたい,Harapan,"expectation, anticipation",Verbal Noun,みんな私たちに期待しています。,みんな わたしたち に きたい して います,Semua orang mengharapkan kita.,Everyone has high expectations of us.
489,JLPT3,力,ちから,Kekuatan,"strength, power",Noun,お相撲さんは、みんな力持ちだ。,おすもうさん は みんな ちからもち だ,Semua pegulat sumo kuat.,All sumo wrestlers are strong.
490,JLPT2,除く,のぞく,Mengecualikan,"rid of, exclude",Verb,部長を除く全員が土曜日も働いた。,ぶちょう を のぞく ぜんいん が どようび も はたらいた,Semua orang bekerja pada hari Sabtu kecuali kepala departemen.,Everyone except the director worked on Saturday.
491,JLPT2,一般,いっぱん,Umum,"general, common",Noun,一般の方はこちらの席へどうぞ。,いっぱん の かた は こちら の せき へ どうぞ,Tempat duduk umum ada di sini.,General seating is over here.
492,JLPT2,今回,こんかい,Kali ini,this time,Noun,まあ今回は許してあげよう。,まあ こんかい は ゆるして あげよう,"Baiklah, kali ini saya maafkan.","Well, I'll let you off this time."
493,JLPT2,普及,ふきゅう,Penyebaran,"diffusion, spread",Verbal Noun,ゴミのリサイクルが普及している。,ごみ の りさいくる が ふきゅう して いる,Daur ulang sampah semakin menyebar.,Garbage recycling has become widespread.
494,JLPT2,表現,ひょうげん,Ekspresi,expression,Verbal Noun,彼は歌で自分の気持ちを表現した。,かれ は うた で じぶん の きもち を ひょうげん した,Dia mengekspresikan perasaannya melalui lagu.,He expressed his feelings in song.
495,JLPT2,作業,さぎょう,Pekerjaan,"work, operation",Verbal Noun,作業するにはもっと広いスペースが必要だ。,さぎょう する に は もっと ひろい すぺーす が ひつよう だ,Perlu lebih banyak ruang untuk bekerja.,I need a bigger space to work.
496,JLPT3,予定,よてい,Rencana,"schedule, plan",Verbal Noun,今日の予定を教えてください。,きょう の よてい を おしえて ください,Tolong beri tahu saya rencana hari ini.,Please tell me what your schedule is for today.
497,JLPT3,工場,こうじょう,Pabrik,"factory, plant",Noun,彼は食品工場で働いています。,かれ は しょくひん こうじょう で はたらいて います,Dia bekerja di pabrik makanan.,He's working at the food factory.
498,JLPT4,よく,よく,Dengan baik,well,Adverb,よく答えが分かりましたね。,よく こたえ が わかりました ね,"Kamu tahu jawabannya dengan baik, ya.",You did well in coming up with the answer.
499,JLPT2,生産,せいさん,Produksi,production,Verbal Noun,ボルドーはワインの生産で有名だ。,ぼるどー は わいん の せいさん で ゆうめい だ,Bordeaux terkenal dengan produksi anggurnya.,Bordeau is famous for wine production.
500,JLPT1,政権,せいけん,Pemerintahan,political power,Noun,政権が交代した。,せいけん が こうたい した,Pemerintahan telah berubah.,There was a regime change.
